product_id,Product Name ,category,price,cost
1,End,Office Supplies,903.42,119.42
2,Herself,Electronics,985.46,189.32
3,Rule,Office Supplies,292.4,489.13
4,Girl,office supplies,665.25,343.24
5,Either,electronics,303.74,678.25
6,While,office supplies,738.38,47.37
7,Throw,Furniture,66.59,411.0
8,Another,office supplies,920.19,374.13
9,Tell,Electronics,961.17,60.68
10,Lawyer,electronics,77.84,52.23
11,Send,electronics,409.74,659.41
12,You,office supplies,253.75,418.19
13,Today,office supplies,91.16,461.87
14,Region,office supplies,527.55,654.62
15,Do,electronics,673.03,223.36
16,Five,Furniture,401.83,471.82
17,Medical,Furniture,462.65,650.67
18,Media,Electronics,19.22,436.71
19,Debate,office supplies,996.14,55.92
20,Might,electronics,510.83,97.06
21,Society,Furniture,882.06,616.09
22,Factor,Furniture,292.14,309.54
23,Push,office supplies,706.5,430.12
24,All,office supplies,17.74,572.89
25,Turn,Furniture,932.44,76.99
26,Rather,electronics,271.82,623.35
27,Again,office supplies,163.89,200.82
28,Next,electronics,720.44,146.5
29,Management,Furniture,510.35,179.53
30,Difficult,Electronics,101.38,299.39
31,Federal,Furniture,53.65,236.82
32,Value,electronics,640.74,187.06
33,Song,Office Supplies,556.16,302.24
34,Soon,Electronics,120.76,661.81
35,Move,electronics,550.13,585.04
36,Final,office supplies,557.0,303.7
37,Believe,Electronics,315.18,629.79
38,Sing,Electronics,899.94,151.0
39,Maintain,electronics,670.26,250.81
40,Animal,office supplies,885.29,287.43
41,Purpose,office supplies,751.98,648.41
42,Move,electronics,865.96,683.46
43,Easy,electronics,882.6,22.23
44,Official,Furniture,784.56,291.14
45,Daughter,electronics,274.14,552.23
46,Set,Electronics,388.72,31.91
47,Need,Office Supplies,230.21,572.53
48,Design,Office Supplies,356.16,575.27
49,Low,electronics,230.69,463.72
50,Remember,Office Supplies,334.98,605.73
51,Group,Furniture,357.63,359.04
52,Reduce,office supplies,337.84,24.18
53,Shoulder,Furniture,186.78,673.96
54,Street,Furniture,47.87,419.62
55,Most,Furniture,731.26,223.01
56,Our,office supplies,984.39,85.37
57,Simply,office supplies,198.18,35.85
58,Agree,Office Supplies,11.67,648.27
59,Skin,office supplies,689.99,658.48
60,Everybody,electronics,370.58,53.63
61,Way,Furniture,626.92,466.05
62,Small,Electronics,722.56,213.72
63,Miss,Furniture,670.22,231.7
64,Analysis,Furniture,558.87,138.33
65,One,Office Supplies,680.54,632.45
66,Agent,office supplies,573.41,287.22
67,Enjoy,Electronics,310.84,151.08
68,Capital,office supplies,610.59,228.96
69,Throw,Office Supplies,447.74,153.52
70,Safe,Office Supplies,795.8,672.08
71,Stuff,electronics,662.26,202.23
72,Matter,office supplies,341.84,573.8
73,Star,electronics,676.07,161.13
74,Institution,electronics,155.88,37.12
75,Open,Office Supplies,615.16,539.1
76,Treatment,Office Supplies,420.3,442.69
77,Each,electronics,721.16,271.87
78,Ahead,Office Supplies,251.54,460.96
79,Phone,Electronics,893.73,603.01
80,Clearly,Electronics,780.64,157.09
81,Least,office supplies,469.9,392.4
82,News,Electronics,461.9,561.98
83,Fight,office supplies,988.01,418.84
84,American,Office Supplies,616.53,504.9
85,Group,office supplies,432.47,635.26
86,Radio,Office Supplies,898.24,521.84
87,Side,Office Supplies,455.57,527.48
88,Leg,Furniture,768.16,367.3
89,Future,electronics,281.85,58.85
90,Anyone,Furniture,242.15,238.41
91,She,office supplies,89.77,109.83
92,Maybe,Office Supplies,697.01,495.96
93,Animal,Electronics,420.72,234.96
94,Practice,Office Supplies,421.62,148.75
95,Involve,Office Supplies,395.58,540.01
96,Throw,Electronics,858.16,537.09
97,Either,Office Supplies,482.21,660.21
98,Or,Furniture,755.94,598.15
99,Poor,Office Supplies,542.84,515.57
100,Focus,office supplies,898.83,344.32
101,Less,Furniture,441.48,25.17
102,Father,Furniture,672.18,559.71
103,Stuff,electronics,842.1,644.08
104,Article,office supplies,538.78,635.32
105,Wear,office supplies,568.75,23.84
106,Public,Office Supplies,144.34,325.88
107,Any,Electronics,267.55,232.51
108,Physical,Office Supplies,333.58,534.05
109,Study,Office Supplies,285.47,666.09
110,To,Office Supplies,259.75,61.92
111,Third,Electronics,751.53,41.2
112,Several,Furniture,231.98,52.69
113,Already,Electronics,756.69,664.98
114,Face,electronics,840.84,436.83
115,Agree,electronics,134.96,470.27
116,Son,office supplies,948.28,328.2
117,Style,Furniture,769.23,121.61
118,Interview,office supplies,964.1,504.26
119,Place,electronics,965.07,80.13
120,Often,Electronics,929.6,405.18
121,Over,Office Supplies,402.69,501.94
122,Yet,Electronics,596.18,582.25
123,Their,electronics,110.88,541.87
124,Study,office supplies,807.47,558.38
125,Various,office supplies,784.81,246.31
126,Social,Office Supplies,664.91,52.92
127,Experience,Furniture,22.53,296.94
128,Mind,Office Supplies,114.48,672.75
129,Prepare,Office Supplies,710.24,307.66
130,Management,office supplies,965.82,192.71
131,Detail,office supplies,776.9,328.09
132,Scene,office supplies,275.71,596.94
133,Serious,Electronics,286.14,318.31
134,Consider,Office Supplies,574.15,469.39
135,Thank,Furniture,38.41,596.41
136,Under,electronics,492.67,251.6
137,Any,Furniture,346.94,616.82
138,This,Furniture,560.23,364.06
139,Power,electronics,94.76,505.45
140,Type,Office Supplies,559.62,172.03
141,Hundred,Office Supplies,649.44,346.12
142,Between,Electronics,102.12,159.01
143,Station,electronics,313.14,409.18
144,We,Office Supplies,557.94,243.91
145,Nice,office supplies,337.48,493.48
146,Walk,Furniture,313.56,165.22
147,Produce,electronics,322.39,521.3
148,Career,electronics,199.63,518.33
149,Themselves,Furniture,727.34,683.74
150,Officer,office supplies,600.82,686.45
151,Hard,electronics,303.28,255.81
152,Bit,Furniture,24.01,376.22
153,Myself,Furniture,55.06,42.9
154,Usually,Furniture,700.44,92.76
155,Such,Office Supplies,111.56,13.52
156,Happy,Furniture,474.7,311.13
157,Loss,electronics,965.84,180.47
158,Building,Office Supplies,122.95,50.41
159,With,Office Supplies,83.34,442.46
160,Recently,Electronics,160.21,568.74
161,How,Furniture,94.33,177.49
162,Natural,office supplies,766.8,426.39
163,Even,office supplies,233.43,368.19
164,Hair,Office Supplies,909.42,211.66
165,Government,office supplies,990.13,217.24
166,Soon,office supplies,69.63,672.28
167,Economic,Electronics,948.11,149.41
168,Four,electronics,272.0,61.43
169,Item,electronics,182.08,57.17
170,Fire,Electronics,414.43,484.11
171,President,Office Supplies,298.35,165.88
172,Never,Furniture,705.96,320.55
173,Care,electronics,924.67,552.54
174,Able,office supplies,664.57,653.9
175,Large,Office Supplies,123.63,161.24
176,Really,electronics,909.33,579.51
177,Break,Electronics,69.04,555.88
178,Than,office supplies,751.47,400.6
179,Green,Furniture,444.76,330.75
180,Policy,Furniture,702.74,660.16
181,Very,office supplies,544.58,309.24
182,Surface,office supplies,49.46,305.26
183,Talk,Furniture,607.68,22.98
184,Hour,electronics,962.29,585.99
185,Large,office supplies,591.25,19.42
186,Particularly,Furniture,580.48,535.36
187,Stop,electronics,475.8,457.8
188,Woman,Furniture,189.67,411.8
189,Themselves,Office Supplies,969.36,331.66
190,Others,Office Supplies,339.98,470.74
191,Goal,electronics,336.51,487.1
192,He,Furniture,665.96,283.31
193,Mr,office supplies,46.33,66.2
194,Recently,Furniture,330.04,679.28
195,Body,Office Supplies,866.26,578.32
196,Part,Electronics,661.08,382.1
197,Here,Office Supplies,63.66,365.32
198,Concern,office supplies,758.88,439.66
199,Mr,Electronics,211.52,386.71
200,Glass,Furniture,443.73,490.28
201,Play,Electronics,38.58,442.87
202,Run,electronics,712.68,220.97
203,Politics,Electronics,556.73,69.78
204,Organization,Electronics,466.83,86.64
205,Relate,electronics,503.39,503.04
206,Rest,office supplies,708.36,293.77
207,Together,Office Supplies,980.44,174.39
208,Seat,office supplies,153.2,137.47
209,Born,office supplies,513.16,616.13
210,College,Electronics,283.48,554.05
211,Either,Office Supplies,346.48,552.46
212,Hope,Furniture,822.34,201.57
213,Resource,Furniture,839.1,408.05
214,Develop,Office Supplies,866.61,315.35
215,Word,Office Supplies,351.67,388.58
216,Involve,office supplies,383.44,653.33
217,Left,electronics,980.97,170.97
218,Ready,Office Supplies,241.23,544.0
219,Soldier,Electronics,324.99,333.72
220,Become,Office Supplies,392.22,466.26
221,Event,electronics,500.38,30.73
222,Our,office supplies,965.7,235.74
223,Drive,Electronics,875.45,311.01
224,Kitchen,office supplies,911.34,15.67
225,Military,electronics,415.88,460.07
226,Discover,electronics,84.08,548.16
227,Less,Furniture,345.18,486.43
228,See,Electronics,853.25,597.38
229,Civil,office supplies,386.21,225.08
230,Evening,Office Supplies,873.66,29.95
231,Return,Electronics,242.42,480.66
232,Fly,Furniture,997.45,524.0
233,Crime,Office Supplies,978.55,533.46
234,Majority,Electronics,449.24,487.33
235,Nor,Electronics,55.53,558.32
236,Apply,Furniture,364.88,304.33
237,Teach,electronics,535.85,398.32
238,Television,electronics,178.28,59.88
239,Sea,Office Supplies,623.51,172.38
240,Your,office supplies,151.69,325.5
241,Near,Furniture,464.97,468.45
242,Employee,Office Supplies,902.2,475.94
243,Other,electronics,83.12,661.94
244,Do,office supplies,306.16,673.61
245,Field,Furniture,462.27,214.97
246,But,Office Supplies,854.8,79.12
247,Question,Office Supplies,576.2,404.49
248,People,Furniture,31.72,581.88
249,Fall,Office Supplies,281.74,398.32
250,Hot,Electronics,911.51,522.89
251,And,Furniture,777.98,164.93
252,Family,Furniture,226.81,137.14
253,Note,Furniture,680.99,506.05
254,Trouble,electronics,631.97,632.87
255,Entire,Electronics,315.84,311.37
256,Really,office supplies,371.21,96.33
257,Realize,Furniture,333.45,293.77
258,Challenge,electronics,140.84,379.89
259,Executive,Furniture,535.54,639.87
260,Design,electronics,264.4,578.16
261,Perhaps,Office Supplies,967.71,210.12
262,Win,Furniture,806.19,330.49
263,We,Electronics,149.35,676.72
264,Always,Office Supplies,967.6,564.19
265,Certainly,Furniture,99.4,279.23
266,Near,Furniture,541.21,321.08
267,Right,Furniture,588.71,576.58
268,Enough,Furniture,117.26,167.51
269,Science,Electronics,623.35,660.5
270,Concern,Furniture,916.1,158.85
271,Travel,Electronics,639.05,327.67
272,Page,Furniture,652.75,86.09
273,Well,Electronics,946.8,216.53
274,Usually,Office Supplies,124.96,168.19
275,Hour,office supplies,144.31,320.28
276,Billion,office supplies,424.94,520.88
277,Dream,electronics,886.56,460.17
278,Economy,Office Supplies,619.5,657.64
279,Wrong,Furniture,42.39,262.52
280,Collection,Office Supplies,450.25,169.1
281,Change,Furniture,108.36,481.55
282,Live,office supplies,902.68,453.15
283,Ok,Electronics,404.16,136.92
284,Attorney,Electronics,949.52,577.81
285,Stand,Electronics,666.14,450.98
286,Other,office supplies,971.38,40.15
287,Community,Furniture,251.13,92.52
288,Tough,office supplies,213.15,581.72
289,Production,office supplies,215.09,155.09
290,Real,electronics,335.27,107.55
291,Cut,office supplies,12.81,601.59
292,Ability,electronics,987.65,380.45
293,Prepare,electronics,118.83,607.18
294,Buy,electronics,24.71,554.04
295,Talk,electronics,592.96,15.97
296,Business,Furniture,61.88,520.49
297,Most,office supplies,122.51,49.17
298,Person,Office Supplies,780.24,361.7
299,Contain,Electronics,457.49,158.98
300,Beautiful,office supplies,52.93,549.34
