order_id,customer_id,product_id,store_id,quantity,unit_price,discount,sales_amount,order_status,order_date,extra_column
1,928,69,5,7.0,1157.04,0.29,5750.49,Cancelled,2024-09-08,REMOVE_ME
2,1763,161,23,9.0,372.72,0.18,2750.67,cancelled,2024-10-09,REMOVE_ME
3,596,177,22,4.0,257.05,0.15,873.97,completed,2024-12-28,REMOVE_ME
4,661,60,25,3.0,614.59,0.18,1511.89,Pending,2024-07-29,REMOVE_ME
5,1455,214,22,8.0,707.71,0.28,4076.41,cancelled,2023-10-20,REMOVE_ME
6,52,196,5,7.0,973.8,0.11,6066.77,Completed,2024-11-17,REMOVE_ME
7,330,147,22,1.0,255.88,0.2,204.7,Pending,2023-05-30,REMOVE_ME
8,1544,278,2,1.0,834.9,0.02,818.2,Pending,2024-04-08,REMOVE_ME
9,1151,115,24,2.0,747.01,0.17,1240.04,cancelled,2024-02-03,REMOVE_ME
10,1426,148,23,4.0,622.89,0.22,1943.42,Completed,2024-01-26,REMOVE_ME
11,1404,161,18,7.0,511.55,0.22,2793.06,Completed,2023-01-14,REMOVE_ME
12,1763,227,8,5.0,259.64,0.25,973.65,Pending,2024-08-25,REMOVE_ME
13,1485,100,10,9.0,891.37,-0.02,8182.78,Cancelled,2023-07-01,REMOVE_ME
14,1053,62,13,2.0,240.63,-0.03,495.7,Completed,2024-03-14,REMOVE_ME
15,1197,131,1,5.0,676.79,-0.05,3553.15,Pending,2024-04-22,REMOVE_ME
16,1223,27,25,3.0,67.13,0.27,147.01,cancelled,2024-11-08,REMOVE_ME
17,734,38,23,5.0,598.85,0.13,2605.0,Pending,2024-06-22,REMOVE_ME
18,1611,259,6,4.0,1149.25,0.11,4091.33,Cancelled,2024-07-10,REMOVE_ME
19,1810,110,22,9.0,496.03,0.04,4285.7,Pending,2023-12-06,REMOVE_ME
20,1267,272,16,6.0,366.42,0.28,1582.93,cancelled,2024-10-26,REMOVE_ME
21,493,125,2,1.0,155.37,0.04,149.16,Pending,2024-01-26,REMOVE_ME
22,580,13,17,2.0,475.33,0.12,836.58,Pending,2024-06-10,REMOVE_ME
23,1840,99,11,9.0,545.76,-0.08,5304.79,cancelled,2023-03-26,REMOVE_ME
24,1102,274,1,2.0,217.53,0.28,313.24,Completed,2023-08-04,REMOVE_ME
25,213,106,18,4.0,1040.64,0.07,3871.18,Cancelled,2024-10-24,REMOVE_ME
26,941,170,2,2.0,901.33,-0.04,1874.77,Completed,2023-03-17,REMOVE_ME
27,145,295,8,1.0,230.03,0.0,230.03,Pending,2024-02-22,REMOVE_ME
28,648,9,13,7.0,552.33,0.06,3634.33,Completed,2024-07-01,REMOVE_ME
29,1549,300,2,1.0,776.88,0.15,660.35,Completed,2024-01-02,REMOVE_ME
30,618,45,10,9.0,145.24,0.21,1032.66,Cancelled,2024-01-26,REMOVE_ME
31,321,274,8,7.0,990.1,-0.09,7554.46,completed,2024-02-05,REMOVE_ME
32,611,192,1,9.0,368.07,0.15,2815.74,cancelled,2024-07-22,REMOVE_ME
33,1222,202,18,3.0,165.42,-0.1,545.89,cancelled,2023-03-29,REMOVE_ME
34,1487,177,7,5.0,267.86,0.2,1071.44,Cancelled,2024-10-23,REMOVE_ME
35,1264,130,7,9.0,188.1,-0.03,1743.69,Completed,2023-07-05,REMOVE_ME
36,1910,282,15,10.0,1025.66,0.24,7795.02,cancelled,2023-03-16,REMOVE_ME
37,405,298,16,5.0,812.59,0.0,4062.95,Pending,2024-01-01,REMOVE_ME
38,584,36,7,3.0,812.13,-0.01,2460.75,Pending,2024-05-12,REMOVE_ME
39,1421,300,5,8.0,407.45,0.16,2738.06,cancelled,2024-08-03,REMOVE_ME
40,346,3,11,6.0,973.09,0.28,4203.75,completed,2023-08-15,REMOVE_ME
41,1392,170,16,7.0,346.48,0.04,2328.35,Cancelled,2024-04-01,REMOVE_ME
42,223,90,21,6.0,934.23,0.09,5100.9,cancelled,2023-03-25,REMOVE_ME
43,1104,101,9,5.0,1033.28,-0.04,5373.06,Completed,2023-03-19,REMOVE_ME
44,1665,298,19,1.0,1022.51,0.15,869.13,Cancelled,2024-08-27,REMOVE_ME
45,1114,277,16,4.0,1089.44,0.12,3834.83,completed,2024-01-10,REMOVE_ME
46,1502,149,5,7.0,283.5,0.21,1567.76,Cancelled,2024-05-28,REMOVE_ME
